kind,pattern,phase,domain,model,lift,occurrences,doc_prevalence,cell_pass,bootstrap_ci_lo,bootstrap_ci_hi,replicated_pattern
within_sentence,<X> in <X> and <X>,validation,recipes,llama-chat,0.0261,0,0.0,False,,,False
within_sentence,<X> in <X> and <X>,validation,recipes,cohere-chat,0.4408,6,0.0714,False,,,False
within_sentence,<X> in <X> and <X>,validation,wiki,gpt4,1.1982,48,0.4143,False,,,False
within_sentence,<X> in <X> and <X>,validation,wiki,llama-chat,1.2874,41,0.3429,False,,,False
within_sentence,<X> in <X> and <X>,validation,wiki,cohere-chat,1.3703,32,0.3429,False,,,False
within_sentence,<X> is a,discovery,abstracts,chatgpt,1.8016,23,0.3143,True,0.9829,3.4599,True
within_sentence,<X> is a,discovery,abstracts,mistral-chat,2.5024,34,0.4714,True,1.5502,4.9592,True
within_sentence,<X> is a,discovery,abstracts,mpt-chat,1.0508,9,0.1286,False,0.4433,2.1712,True
within_sentence,<X> is a,discovery,books,chatgpt,8.139,65,0.7,True,5.1666,14.0171,True
within_sentence,<X> is a,discovery,books,mistral-chat,5.1974,46,0.5143,True,3.1211,9.1883,True
within_sentence,<X> is a,discovery,books,mpt-chat,6.0908,28,0.3143,True,3.5019,11.0538,True
within_sentence,<X> is a,discovery,news,chatgpt,1.5416,28,0.3,True,0.8379,3.0499,True
within_sentence,<X> is a,discovery,news,mistral-chat,1.4132,17,0.2143,False,0.7778,2.6106,True
within_sentence,<X> is a,discovery,news,mpt-chat,1.0322,9,0.1,False,0.3825,2.0953,True
within_sentence,<X> is a,discovery,recipes,chatgpt,0.6413,0,0.0,False,0.5738,0.715,True
within_sentence,<X> is a,discovery,recipes,mistral-chat,10.9231,6,0.0714,False,3.8727,20.2404,True
within_sentence,<X> is a,discovery,recipes,mpt-chat,0.821,0,0.0,False,0.7408,0.9071,True
within_sentence,<X> is a,discovery,wiki,chatgpt,1.4192,59,0.5429,False,1.0615,2.037,True
within_sentence,<X> is a,discovery,wiki,mistral-chat,1.7676,50,0.4,True,1.2048,2.6583,True
within_sentence,<X> is a,discovery,wiki,mpt-chat,1.5582,39,0.4429,True,1.143,2.2303,True
within_sentence,<X> is a,validation,abstracts,gpt4,0.0478,0,0.0,False,0.0333,0.0794,True
within_sentence,<X> is a,validation,abstracts,llama-chat,0.9881,21,0.2571,False,0.5599,1.8532,True
within_sentence,<X> is a,validation,abstracts,cohere-chat,1.5863,22,0.2857,True,0.9314,2.7546,True
within_sentence,<X> is a,validation,books,gpt4,8.4611,143,0.9286,True,5.7455,14.2239,True
within_sentence,<X> is a,validation,books,llama-chat,1.6865,32,0.3714,True,1.0284,2.8008,True
within_sentence,<X> is a,validation,books,cohere-chat,1.914,29,0.3857,True,1.1831,3.3513,True
within_sentence,<X> is a,validation,news,gpt4,3.9822,38,0.4143,True,2.1256,9.7278,True
within_sentence,<X> is a,validation,news,llama-chat,4.922,39,0.3143,True,2.6168,11.3625,True
within_sentence,<X> is a,validation,news,cohere-chat,1.9692,11,0.1143,True,0.7925,5.0529,True
within_sentence,<X> is a,validation,recipes,gpt4,0.0839,0,0.0,False,0.0395,0.5836,True
within_sentence,<X> is a,validation,recipes,llama-chat,1.1072,5,0.0571,False,0.2141,7.2895,True
within_sentence,<X> is a,validation,recipes,cohere-chat,7.1928,27,0.3429,True,3.2248,50.7164,True
within_sentence,<X> is a,validation,wiki,gpt4,1.5096,54,0.5571,True,1.0148,2.5029,True
within_sentence,<X> is a,validation,wiki,llama-chat,1.6173,46,0.5429,True,1.0646,2.8622,True
within_sentence,<X> is a,validation,wiki,cohere-chat,1.4419,30,0.3143,False,0.911,2.2935,True
within_sentence,<X> is a <X>,discovery,abstracts,chatgpt,1.8016,23,0.3143,True,1.0207,3.3858,True
within_sentence,<X> is a <X>,discovery,abstracts,mistral-chat,2.5024,34,0.4714,True,1.5271,4.7308,True
within_sentence,<X> is a <X>,discovery,abstracts,mpt-chat,1.0508,9,0.1286,False,0.4471,2.1868,True
within_sentence,<X> is a <X>,discovery,books,chatgpt,8.9862,64,0.7,True,5.7159,16.2198,True
within_sentence,<X> is a <X>,discovery,books,mistral-chat,5.8274,46,0.5143,True,3.4247,11.0042,True
within_sentence,<X> is a <X>,discovery,books,mpt-chat,6.8291,28,0.3143,True,3.9469,12.1861,True
within_sentence,<X> is a <X>,discovery,news,chatgpt,1.5416,28,0.3,True,0.8202,2.9689,True
within_sentence,<X> is a <X>,discovery,news,mistral-chat,1.4132,17,0.2143,False,0.7426,2.7337,True
within_sentence,<X> is a <X>,discovery,news,mpt-chat,1.0322,9,0.1,False,0.3916,1.9937,True
within_sentence,<X> is a <X>,discovery,recipes,chatgpt,0.6413,0,0.0,False,0.5757,0.7155,True
within_sentence,<X> is a <X>,discovery,recipes,mistral-chat,10.9231,6,0.0714,False,3.8328,20.8937,True
within_sentence,<X> is a <X>,discovery,recipes,mpt-chat,0.821,0,0.0,False,0.7392,0.914,True
within_sentence,<X> is a <X>,discovery,wiki,chatgpt,1.4708,58,0.5429,False,1.0745,2.1628,True
within_sentence,<X> is a <X>,discovery,wiki,mistral-chat,1.7893,48,0.4,True,1.1952,2.7329,True
within_sentence,<X> is a <X>,discovery,wiki,mpt-chat,1.6008,38,0.4286,True,1.1626,2.2775,True
within_sentence,<X> is a <X>,validation,abstracts,gpt4,0.0478,0,0.0,False,0.0333,0.0792,True
within_sentence,<X> is a <X>,validation,abstracts,llama-chat,0.9881,21,0.2571,False,0.5695,1.7461,True
within_sentence,<X> is a <X>,validation,abstracts,cohere-chat,1.5863,22,0.2857,True,0.9638,2.7628,True
within_sentence,<X> is a <X>,validation,books,gpt4,8.4611,143,0.9286,True,5.6982,14.3086,True
within_sentence,<X> is a <X>,validation,books,llama-chat,1.6865,32,0.3714,True,1.0312,2.8673,True
within_sentence,<X> is a <X>,validation,books,cohere-chat,1.914,29,0.3857,True,1.1875,3.2839,True
within_sentence,<X> is a <X>,validation,news,gpt4,3.9822,38,0.4143,True,2.1108,9.5782,True
within_sentence,<X> is a <X>,validation,news,llama-chat,4.922,39,0.3143,True,2.5505,12.0,True
within_sentence,<X> is a <X>,validation,news,cohere-chat,1.6267,9,0.1,False,0.5013,4.5613,True
within_sentence,<X> is a <X>,validation,recipes,gpt4,0.0839,0,0.0,False,0.0399,0.584,True
within_sentence,<X> is a <X>,validation,recipes,llama-chat,1.1072,5,0.0571,False,0.2285,7.7508,True
within_sentence,<X> is a <X>,validation,recipes,cohere-chat,7.1928,27,0.3429,True,3.1516,48.2947,True
within_sentence,<X> is a <X>,validation,wiki,gpt4,1.6863,53,0.5429,True,1.1306,2.817,True
within_sentence,<X> is a <X>,validation,wiki,llama-chat,1.8008,45,0.5286,True,1.1118,3.1786,True
within_sentence,<X> is a <X>,validation,wiki,cohere-chat,1.5869,29,0.3143,True,0.987,2.8029,True
within_sentence,<X> of <X> and,discovery,abstracts,chatgpt,4.7914,62,0.6,True,3.0681,8.4595,True
within_sentence,<X> of <X> and,discovery,abstracts,mistral-chat,4.9685,68,0.6143,True,2.9922,9.5558,True
within_sentence,<X> of <X> and,discovery,abstracts,mpt-chat,5.1435,46,0.4714,True,3.0255,9.9632,True
within_sentence,<X> of <X> and,discovery,books,chatgpt,3.7207,78,0.6143,True,2.3925,5.7868,True
within_sentence,<X> of <X> and,discovery,books,mistral-chat,2.2383,52,0.4571,True,1.5009,3.4197,True
within_sentence,<X> of <X> and,discovery,books,mpt-chat,3.7091,45,0.5,True,2.3722,5.7776,True
within_sentence,<X> of <X> and,discovery,news,chatgpt,2.3474,81,0.6143,True,1.5822,3.5044,True
within_sentence,<X> of <X> and,discovery,news,mistral-chat,2.4725,57,0.4429,True,1.5548,3.8847,True
within_sentence,<X> of <X> and,discovery,news,mpt-chat,2.3431,40,0.3143,True,1.5671,3.6756,True
within_sentence,<X> of <X> and,discovery,recipes,chatgpt,0.6802,17,0.2429,False,0.3479,1.4642,True
within_sentence,<X> of <X> and,discovery,recipes,mistral-chat,0.4838,9,0.1286,False,0.21,1.0513,True
within_sentence,<X> of <X> and,discovery,recipes,mpt-chat,0.3732,7,0.0857,False,0.1126,0.9298,True
within_sentence,<X> of <X> and,discovery,wiki,chatgpt,2.4072,147,0.8714,True,1.5939,4.0666,True
within_sentence,<X> of <X> and,discovery,wiki,mistral-chat,1.9997,83,0.6286,True,1.2458,3.6284,True
within_sentence,<X> of <X> and,discovery,wiki,mpt-chat,2.8745,106,0.6571,True,1.7749,5.0567,True
within_sentence,<X> of <X> and,validation,abstracts,gpt4,3.401,42,0.3857,True,1.8948,7.2933,True
within_sentence,<X> of <X> and,validation,abstracts,llama-chat,4.6785,121,0.7571,True,2.6531,9.7758,True
within_sentence,<X> of <X> and,validation,abstracts,cohere-chat,2.6877,45,0.4,True,1.3507,5.9008,True
within_sentence,<X> of <X> and,validation,books,gpt4,1.9149,85,0.6714,True,1.4035,2.6697,True
within_sentence,<X> of <X> and,validation,books,llama-chat,2.0992,106,0.7571,True,1.5894,2.8481,True
within_sentence,<X> of <X> and,validation,books,cohere-chat,1.2692,51,0.4714,False,0.8411,1.9001,True
within_sentence,<X> of <X> and,validation,news,gpt4,2.6376,55,0.5143,True,1.7006,4.9493,True
within_sentence,<X> of <X> and,validation,news,llama-chat,3.6355,63,0.5571,True,2.1985,7.0341,True
within_sentence,<X> of <X> and,validation,news,cohere-chat,2.3996,30,0.3143,True,1.2708,4.9593,True
within_sentence,<X> of <X> and,validation,recipes,gpt4,0.5435,12,0.1714,False,0.2725,1.1087,True
within_sentence,<X> of <X> and,validation,recipes,llama-chat,0.7568,14,0.1714,False,0.3475,1.6311,True
within_sentence,<X> of <X> and,validation,recipes,cohere-chat,0.4408,6,0.0857,False,0.1518,1.0074,True
within_sentence,<X> of <X> and,validation,wiki,gpt4,1.7258,126,0.7571,True,1.2302,2.5635,True
within_sentence,<X> of <X> and,validation,wiki,llama-chat,2.1157,123,0.7571,True,1.534,3.1038,True
within_sentence,<X> of <X> and,validation,wiki,cohere-chat,2.0141,86,0.5429,True,1.3643,3.0741,True
within_sentence,<X> of <X> and <X>,discovery,abstracts,chatgpt,5.7746,49,0.5143,True,3.2624,13.2501,True
within_sentence,<X> of <X> and <X>,discovery,abstracts,mistral-chat,5.2428,47,0.5429,True,2.8779,12.8239,True
within_sentence,<X> of <X> and <X>,discovery,abstracts,mpt-chat,5.3022,31,0.3714,True,2.824,12.6083,True
within_sentence,<X> of <X> and <X>,discovery,books,chatgpt,3.7134,52,0.5,True,2.3521,6.233,True
within_sentence,<X> of <X> and <X>,discovery,books,mistral-chat,2.704,42,0.3857,True,1.6772,4.5026,True
within_sentence,<X> of <X> and <X>,discovery,books,mpt-chat,3.7104,30,0.3571,True,2.0898,6.3895,True
within_sentence,<X> of <X> and <X>,discovery,news,chatgpt,1.9695,59,0.5571,True,1.2584,3.312,True
within_sentence,<X> of <X> and <X>,discovery,news,mistral-chat,1.7049,34,0.3,True,0.9497,2.9258,True
within_sentence,<X> of <X> and <X>,discovery,news,mpt-chat,1.8285,27,0.2286,True,1.0979,2.9181,True
within_sentence,<X> of <X> and <X>,discovery,recipes,chatgpt,0.6025,15,0.2143,False,0.2902,1.2629,True
within_sentence,<X> of <X> and <X>,discovery,recipes,mistral-chat,0.4838,9,0.1286,False,0.191,1.0453,True
within_sentence,<X> of <X> and <X>,discovery,recipes,mpt-chat,0.3234,6,0.0714,False,0.0742,0.8522,True
within_sentence,<X> of <X> and <X>,discovery,wiki,chatgpt,2.439,107,0.8,True,1.5873,4.5033,True
within_sentence,<X> of <X> and <X>,discovery,wiki,mistral-chat,2.1475,64,0.5286,True,1.2042,4.4709,True
within_sentence,<X> of <X> and <X>,discovery,wiki,mpt-chat,2.833,75,0.5857,True,1.6885,5.3762,True
within_sentence,<X> of <X> and <X>,validation,abstracts,gpt4,3.3447,30,0.3143,True,1.7822,7.5915,True
within_sentence,<X> of <X> and <X>,validation,abstracts,llama-chat,5.2504,99,0.7,True,3.0126,11.2341,True
within_sentence,<X> of <X> and <X>,validation,abstracts,cohere-chat,2.9546,36,0.3571,True,1.4318,6.8107,True
within_sentence,<X> of <X> and <X>,validation,books,gpt4,1.8823,64,0.5571,True,1.3412,2.692,True
within_sentence,<X> of <X> and <X>,validation,books,llama-chat,2.196,85,0.7429,True,1.5856,3.0833,True
within_sentence,<X> of <X> and <X>,validation,books,cohere-chat,1.1079,34,0.3429,False,0.6381,1.8251,True
within_sentence,<X> of <X> and <X>,validation,news,gpt4,2.6376,40,0.3857,True,1.5669,5.1166,True
within_sentence,<X> of <X> and <X>,validation,news,llama-chat,4.0405,51,0.4714,True,2.4235,8.0231,True
within_sentence,<X> of <X> and <X>,validation,news,cohere-chat,2.318,21,0.2571,True,1.1959,4.9739,True
within_sentence,<X> of <X> and <X>,validation,recipes,gpt4,0.4849,9,0.1286,False,0.1961,1.0731,True
within_sentence,<X> of <X> and <X>,validation,recipes,llama-chat,0.7659,12,0.1571,False,0.3275,1.6884,True
within_sentence,<X> of <X> and <X>,validation,recipes,cohere-chat,0.3582,4,0.0571,False,0.0931,0.8399,True
within_sentence,<X> of <X> and <X>,validation,wiki,gpt4,1.8573,95,0.6714,True,1.2312,2.9781,True
within_sentence,<X> of <X> and <X>,validation,wiki,llama-chat,2.3322,95,0.7,True,1.6897,3.6302,True
within_sentence,<X> of <X> and <X>,validation,wiki,cohere-chat,1.809,54,0.4571,True,1.1822,2.9959,True
within_sentence,<X> of <X> and <X> .,discovery,abstracts,chatgpt,6.1117,20,0.2714,True,2.5664,52.0977,True
within_sentence,<X> of <X> and <X> .,discovery,abstracts,mistral-chat,6.3466,22,0.2857,True,2.4162,58.2065,True
within_sentence,<X> of <X> and <X> .,discovery,abstracts,mpt-chat,4.0865,9,0.1286,False,1.253,37.2667,True
within_sentence,<X> of <X> and <X> .,discovery,books,chatgpt,9.4506,18,0.2143,True,4.9831,29.3077,True
within_sentence,<X> of <X> and <X> .,discovery,books,mistral-chat,6.2034,13,0.1571,True,2.4947,23.9542,True
within_sentence,<X> of <X> and <X> .,discovery,books,mpt-chat,7.4681,8,0.1143,False,2.9148,26.3938,True
within_sentence,<X> of <X> and <X> .,discovery,news,chatgpt,3.1561,18,0.2,True,1.1322,18.6225,True
within_sentence,<X> of <X> and <X> .,discovery,news,mistral-chat,3.4383,13,0.1571,True,1.1175,18.0074,True
within_sentence,<X> of <X> and <X> .,discovery,news,mpt-chat,4.6262,13,0.1429,True,1.4148,26.6357,True
within_sentence,<X> of <X> and <X> .,discovery,recipes,chatgpt,1.4964,3,0.0429,False,0.2242,8.0491,True
within_sentence,<X> of <X> and <X> .,discovery,recipes,mistral-chat,0.2801,0,0.0,False,0.1101,0.9316,True
within_sentence,<X> of <X> and <X> .,discovery,recipes,mpt-chat,0.2737,0,0.0,False,0.1099,0.8953,True
within_sentence,<X> of <X> and <X> .,discovery,wiki,chatgpt,4.9096,47,0.4857,True,2.5063,16.4424,True
within_sentence,<X> of <X> and <X> .,discovery,wiki,mistral-chat,3.2609,21,0.1714,True,1.1331,13.1844,True
within_sentence,<X> of <X> and <X> .,discovery,wiki,mpt-chat,4.7009,27,0.3,True,2.1937,17.4283,True
within_sentence,<X> of <X> and <X> .,validation,abstracts,gpt4,2.0188,7,0.1,False,0.6808,6.9713,True
within_sentence,<X> of <X> and <X> .,validation,abstracts,llama-chat,4.9866,38,0.3857,True,2.3982,15.0302,True
within_sentence,<X> of <X> and <X> .,validation,abstracts,cohere-chat,3.0797,15,0.1857,True,1.239,10.5859,True
within_sentence,<X> of <X> and <X> .,validation,books,gpt4,3.7056,29,0.3714,True,2.1298,7.0814,True
within_sentence,<X> of <X> and <X> .,validation,books,llama-chat,2.2663,20,0.2571,True,1.24,4.4496,True
within_sentence,<X> of <X> and <X> .,validation,books,cohere-chat,1.1749,8,0.1143,False,0.5299,2.3709,True
within_sentence,<X> of <X> and <X> .,validation,news,gpt4,4.3959,22,0.2571,True,1.8481,16.405,True
within_sentence,<X> of <X> and <X> .,validation,news,llama-chat,3.6482,15,0.1714,True,1.4823,12.6102,True
within_sentence,<X> of <X> and <X> .,validation,news,cohere-chat,3.3961,10,0.1429,True,1.2127,15.324,True
within_sentence,<X> of <X> and <X> .,validation,recipes,gpt4,0.0534,0,0.0,False,0.0267,0.2055,True
within_sentence,<X> of <X> and <X> .,validation,recipes,llama-chat,0.1922,1,0.0143,False,0.0364,1.1174,True
within_sentence,<X> of <X> and <X> .,validation,recipes,cohere-chat,0.0832,0,0.0,False,0.0391,0.3201,True
within_sentence,<X> of <X> and <X> .,validation,wiki,gpt4,2.189,45,0.4571,True,1.2782,4.7631,True
within_sentence,<X> of <X> and <X> .,validation,wiki,llama-chat,2.2049,36,0.3857,True,1.2367,4.877,True
within_sentence,<X> of <X> and <X> .,validation,wiki,cohere-chat,1.7653,21,0.2429,True,0.8533,4.0458,True
within_sentence,<X> the <X> and,discovery,abstracts,chatgpt,3.4189,39,0.4429,True,1.9047,6.865,True
within_sentence,<X> the <X> and,discovery,abstracts,mistral-chat,2.1701,26,0.3143,True,1.0836,4.4239,True
within_sentence,<X> the <X> and,discovery,abstracts,mpt-chat,2.1855,17,0.2429,True,1.1331,4.4849,True
within_sentence,<X> the <X> and,discovery,books,chatgpt,1.877,44,0.4286,True,1.218,2.8678,True
within_sentence,<X> the <X> and,discovery,books,mistral-chat,2.2575,59,0.4714,True,1.4975,3.389,True
within_sentence,<X> the <X> and,discovery,books,mpt-chat,2.8655,39,0.4,True,1.9118,4.3174,True
within_sentence,<X> the <X> and,discovery,news,chatgpt,4.4838,46,0.4286,True,2.3462,11.611,True
within_sentence,<X> the <X> and,discovery,news,mistral-chat,4.5346,31,0.3143,True,2.3293,11.4555,True
within_sentence,<X> the <X> and,discovery,news,mpt-chat,4.7454,24,0.2714,True,2.4028,10.9451,True
within_sentence,<X> the <X> and,discovery,recipes,chatgpt,0.7602,121,0.8429,False,0.5593,1.0409,True
within_sentence,<X> the <X> and,discovery,recipes,mistral-chat,0.7009,85,0.6143,False,0.5095,0.9602,True
within_sentence,<X> the <X> and,discovery,recipes,mpt-chat,0.6288,78,0.6286,False,0.4526,0.8453,True
within_sentence,<X> the <X> and,discovery,wiki,chatgpt,1.5557,48,0.4571,True,1.0002,2.7248,True
within_sentence,<X> the <X> and,discovery,wiki,mistral-chat,1.671,35,0.3714,True,0.886,3.3016,True
within_sentence,<X> the <X> and,discovery,wiki,mpt-chat,1.8302,34,0.3571,True,1.0505,3.3342,True
within_sentence,<X> the <X> and,validation,abstracts,gpt4,3.3754,28,0.3429,True,1.8468,8.2252,True
within_sentence,<X> the <X> and,validation,abstracts,llama-chat,3.1629,55,0.4429,True,1.7019,7.956,True
within_sentence,<X> the <X> and,validation,abstracts,cohere-chat,1.8796,21,0.2571,True,0.8999,4.732,True
within_sentence,<X> the <X> and,validation,books,gpt4,1.6697,44,0.4143,True,1.0319,2.6498,True
within_sentence,<X> the <X> and,validation,books,llama-chat,2.0969,63,0.5714,True,1.3969,3.2999,True
within_sentence,<X> the <X> and,validation,books,cohere-chat,1.9199,46,0.3857,True,1.2,3.0547,True
within_sentence,<X> the <X> and,validation,news,gpt4,1.3751,30,0.3429,False,0.7862,2.7104,True
within_sentence,<X> the <X> and,validation,news,llama-chat,1.8739,34,0.3571,True,1.0409,3.8585,True
within_sentence,<X> the <X> and,validation,news,cohere-chat,1.6048,21,0.2,True,0.6849,3.4454,True
within_sentence,<X> the <X> and,validation,recipes,gpt4,0.9401,106,0.6857,False,0.6834,1.3286,True
within_sentence,<X> the <X> and,validation,recipes,llama-chat,1.0754,101,0.7429,False,0.7608,1.5681,True
within_sentence,<X> the <X> and,validation,recipes,cohere-chat,1.0806,78,0.5143,False,0.7084,1.6522,True
within_sentence,<X> the <X> and,validation,wiki,gpt4,1.848,46,0.4571,True,1.0246,4.2843,True
within_sentence,<X> the <X> and,validation,wiki,llama-chat,1.2725,25,0.2714,False,0.6113,3.0032,True
within_sentence,<X> the <X> and,validation,wiki,cohere-chat,1.3226,19,0.2,False,0.5875,3.1861,True
within_sentence,<X> the <X> and <X>,discovery,abstracts,chatgpt,4.4081,34,0.4,True,2.317,9.8937,True
within_sentence,<X> the <X> and <X>,discovery,abstracts,mistral-chat,3.0826,25,0.3,True,1.6175,7.2679,True
within_sentence,<X> the <X> and <X>,discovery,abstracts,mpt-chat,2.8575,15,0.2143,True,1.3997,6.1087,True
within_sentence,<X> the <X> and <X>,discovery,books,chatgpt,2.2988,38,0.4,True,1.4256,3.7109,True
within_sentence,<X> the <X> and <X>,discovery,books,mistral-chat,2.9271,54,0.4571,True,1.934,4.5227,True
within_sentence,<X> the <X> and <X>,discovery,books,mpt-chat,2.9268,28,0.3286,True,1.8954,4.455,True
within_sentence,<X> the <X> and <X>,discovery,news,chatgpt,6.5681,38,0.4,True,3.323,23.8514,True
within_sentence,<X> the <X> and <X>,discovery,news,mistral-chat,6.7493,26,0.2714,True,3.371,22.2539,True
within_sentence,<X> the <X> and <X>,discovery,news,mpt-chat,4.9689,14,0.1714,True,1.9872,19.1956,True
within_sentence,<X> the <X> and <X>,discovery,recipes,chatgpt,0.8178,120,0.8429,False,0.6044,1.1252,True
within_sentence,<X> the <X> and <X>,discovery,recipes,mistral-chat,0.7158,80,0.6,False,0.5141,1.0043,True
within_sentence,<X> the <X> and <X>,discovery,recipes,mpt-chat,0.6646,76,0.6143,False,0.4701,0.9262,True
within_sentence,<X> the <X> and <X>,discovery,wiki,chatgpt,2.435,44,0.4286,True,1.4392,5.3802,True
within_sentence,<X> the <X> and <X>,discovery,wiki,mistral-chat,1.8067,22,0.2143,True,0.7138,5.0434,True
within_sentence,<X> the <X> and <X>,discovery,wiki,mpt-chat,1.6742,18,0.2286,True,0.9144,3.8652,True
within_sentence,<X> the <X> and <X>,validation,abstracts,gpt4,4.6155,26,0.3143,True,2.0431,15.8299,True
within_sentence,<X> the <X> and <X>,validation,abstracts,llama-chat,4.4837,53,0.4429,True,2.1571,13.7677,True
within_sentence,<X> the <X> and <X>,validation,abstracts,cohere-chat,2.2498,17,0.2,True,0.9537,7.2329,True
within_sentence,<X> the <X> and <X>,validation,books,gpt4,1.6602,38,0.3571,True,0.9868,2.8421,True
within_sentence,<X> the <X> and <X>,validation,books,llama-chat,2.1442,56,0.5429,True,1.3589,3.5114,True
within_sentence,<X> the <X> and <X>,validation,books,cohere-chat,2.0641,43,0.3571,True,1.1231,3.398,True
within_sentence,<X> the <X> and <X>,validation,news,gpt4,1.3715,19,0.2143,False,0.6175,3.3592,True
within_sentence,<X> the <X> and <X>,validation,news,llama-chat,1.9065,22,0.2571,True,0.9226,5.1527,True
within_sentence,<X> the <X> and <X>,validation,news,cohere-chat,1.5719,13,0.1714,True,0.6781,4.3667,True
within_sentence,<X> the <X> and <X>,validation,recipes,gpt4,1.0464,102,0.6714,False,0.7485,1.5334,True
within_sentence,<X> the <X> and <X>,validation,recipes,llama-chat,1.2192,99,0.7429,False,0.8491,1.8306,True
within_sentence,<X> the <X> and <X>,validation,recipes,cohere-chat,1.1861,74,0.5,False,0.7436,1.8369,True
within_sentence,<X> the <X> and <X>,validation,wiki,gpt4,1.7367,28,0.3143,True,0.8446,4.7523,True
within_sentence,<X> the <X> and <X>,validation,wiki,llama-chat,1.4156,18,0.2143,False,0.5865,3.8244,True
within_sentence,<X> the <X> and <X>,validation,wiki,cohere-chat,1.3,12,0.1286,False,0.4388,4.0196,True
within_sentence,<X> the <X> of <X>,discovery,abstracts,chatgpt,2.8689,69,0.5714,True,,,False
within_sentence,<X> the <X> of <X>,discovery,abstracts,mistral-chat,2.7534,70,0.4714,True,,,False
within_sentence,<X> the <X> of <X>,discovery,abstracts,mpt-chat,3.3056,55,0.4714,True,,,False
within_sentence,<X> the <X> of <X>,discovery,books,chatgpt,3.4119,70,0.5857,True,,,False
within_sentence,<X> the <X> of <X>,discovery,books,mistral-chat,1.9807,45,0.4571,True,,,False
within_sentence,<X> the <X> of <X>,discovery,books,mpt-chat,2.8716,34,0.4,True,,,False
within_sentence,<X> the <X> of <X>,discovery,news,chatgpt,2.341,66,0.5714,True,,,False
within_sentence,<X> the <X> of <X>,discovery,news,mistral-chat,2.2861,43,0.3143,True,,,False
within_sentence,<X> the <X> of <X>,discovery,news,mpt-chat,1.8032,25,0.3143,True,,,False
within_sentence,<X> the <X> of <X>,discovery,recipes,chatgpt,1.3958,18,0.1714,False,,,False
within_sentence,<X> the <X> of <X>,discovery,recipes,mistral-chat,1.3345,13,0.1429,False,,,False
within_sentence,<X> the <X> of <X>,discovery,recipes,mpt-chat,1.4006,14,0.1429,False,,,False
within_sentence,<X> the <X> of <X>,discovery,wiki,chatgpt,1.3574,71,0.5714,False,,,False
within_sentence,<X> the <X> of <X>,discovery,wiki,mistral-chat,1.6018,57,0.4714,True,,,False
within_sentence,<X> the <X> of <X>,discovery,wiki,mpt-chat,1.5228,48,0.4429,True,,,False
within_sentence,<X> the <X> of <X>,validation,abstracts,gpt4,2.3082,72,0.7,True,,,False
within_sentence,<X> the <X> of <X>,validation,abstracts,llama-chat,2.7346,178,0.9,True,,,False
within_sentence,<X> the <X> of <X>,validation,abstracts,cohere-chat,1.8683,79,0.5714,True,,,False
within_sentence,<X> the <X> of <X>,validation,books,gpt4,2.3283,68,0.6857,True,,,False
within_sentence,<X> the <X> of <X>,validation,books,llama-chat,2.4081,80,0.6143,True,,,False
within_sentence,<X> the <X> of <X>,validation,books,cohere-chat,1.1782,31,0.3143,False,,,False
within_sentence,<X> the <X> of <X>,validation,news,gpt4,1.2164,50,0.4857,False,,,False
within_sentence,<X> the <X> of <X>,validation,news,llama-chat,1.1462,39,0.3857,False,,,False
within_sentence,<X> the <X> of <X>,validation,news,cohere-chat,1.0168,25,0.3143,False,,,False
within_sentence,<X> the <X> of <X>,validation,recipes,gpt4,0.2113,4,0.0571,False,,,False
within_sentence,<X> the <X> of <X>,validation,recipes,llama-chat,0.3664,6,0.0857,False,,,False
within_sentence,<X> the <X> of <X>,validation,recipes,cohere-chat,0.1831,2,0.0286,False,,,False
within_sentence,<X> the <X> of <X>,validation,wiki,gpt4,1.0134,76,0.5714,False,,,False
within_sentence,<X> the <X> of <X>,validation,wiki,llama-chat,1.0396,62,0.4857,False,,,False
within_sentence,<X> the <X> of <X>,validation,wiki,cohere-chat,1.5487,68,0.4571,True,,,False
within_sentence,<X> the <X> of <X> and,discovery,abstracts,chatgpt,10.4644,19,0.2143,True,3.5916,65.2245,True
within_sentence,<X> the <X> of <X> and,discovery,abstracts,mistral-chat,8.3775,16,0.1857,True,2.8589,51.7494,True
within_sentence,<X> the <X> of <X> and,discovery,abstracts,mpt-chat,8.9043,11,0.1429,True,2.7957,54.8592,True
within_sentence,<X> the <X> of <X> and,discovery,books,chatgpt,4.4624,16,0.2143,True,1.9439,10.422,True
within_sentence,<X> the <X> of <X> and,discovery,books,mistral-chat,2.0678,8,0.1,False,0.6631,5.6638,True
within_sentence,<X> the <X> of <X> and,discovery,books,mpt-chat,5.8143,12,0.1429,True,2.3413,13.8757,True
within_sentence,<X> the <X> of <X> and,discovery,news,chatgpt,6.8118,21,0.2714,True,2.7891,44.804,True
within_sentence,<X> the <X> of <X> and,discovery,news,mistral-chat,4.0205,8,0.0857,False,1.3118,22.9127,True
within_sentence,<X> the <X> of <X> and,discovery,news,mpt-chat,3.5002,5,0.0714,False,0.8684,23.7181,True
within_sentence,<X> the <X> of <X> and,discovery,recipes,chatgpt,1.1544,4,0.0571,False,0.2618,8.2005,True
within_sentence,<X> the <X> of <X> and,discovery,recipes,mistral-chat,0.5041,1,0.0143,False,0.1248,0.9201,True
within_sentence,<X> the <X> of <X> and,discovery,recipes,mpt-chat,0.1642,0,0.0,False,0.0724,0.858,True
